t	X1	X2
2270	0.726863584	0.932222115
2271	0.877747898	0.949548076
2272	0.742657877	0.940578155
2273	0.806886868	0.97873876
2274	0.732577215	0.923587108
2275	0.736793847	0.921115059
2276	0.769311739	0.852321495
2277	0.799939797	0.970059432
2278	0.802085292	0.98868706
2279	0.783087816	0.911948718
2280	0.722877477	0.959766112
2281	0.84081107	0.856774241
2282	0.822356731	0.917612167
2283	0.73025051	0.909324649
2284	0.843947933	0.860183866
2285	0.84971178	1.015505756
2286	0.872552554	0.904961399
2287	0.864996357	0.985307572
2288	0.809621419	1.010241377
2289	0.753825318	0.934014088
2290	0.791410229	1.020245632
2291	0.768033333	0.902290325
2292	0.846791679	0.917813729
2293	0.787383285	0.983312715
2294	0.729808778	1.000127997
2295	0.792362339	0.926920324
2296	0.838761028	0.842269788
2297	0.737462182	0.897770209
2298	0.851789403	0.82988936
2299	0.799469765	0.890646572
2300	0.746766282	0.995958668
2301	0.866622529	0.892307804
2302	0.757735872	0.87943262
2303	0.849457926	0.807113666
2304	0.884114096	0.98564117
2305	0.812364251	0.912218907
2306	0.834305746	1.03356692
2307	0.774939211	0.993642253
2308	0.697896789	0.916014384
2309	0.775181741	1.041940346
2310	0.829629775	1.058654972
2311	0.787086837	0.924224606
2312	0.817629471	0.979889371
2313	0.848476743	0.980405139
2314	0.822692105	1.066683922
2315	0.798667532	1.030833922
2316	0.793822494	0.97818627
2317	0.744469826	1.091517941
2318	0.837936571	0.930910702
2319	0.773353301	1.012835922
2320	0.796432339	0.973955018
2321	0.824762098	1.069084366
2322	0.857580516	1.021742577
2323	0.844732229	0.973676373
2324	0.72245842	0.9508291
2325	0.73918903	1.0286181
2326	0.834591005	0.978972061
2327	0.777324825	0.983639159
2328	0.836226779	1.029369057
2329	0.797746146	0.984855742
2330	0.750245363	0.931996247
2331	0.790447572	1.046285646
2332	0.908669545	1.030890222
2333	0.815281194	1.08054476
2334	0.782649996	1.020998036
2335	0.754362366	0.99012622
2336	0.918137927	1.000398503
2337	0.765450501	0.991236529
2338	0.754768692	0.956633411
2339	0.799295923	0.971893788
2340	0.814544146	0.982515767
2341	0.859815301	0.830144892
2342	0.780734833	1.006634154
2343	0.801178702	1.042737004
2344	0.75045836	0.955132024
2345	0.76047685	0.990066904
2346	0.806272181	1.084830403
2347	0.886245576	0.971749131
2348	0.905739686	1.100994652
2349	0.774551871	0.967848489
2350	0.845646752	0.90915752
2351	0.781783881	1.076562463
2352	0.770153798	1.018185433
2353	0.781273023	0.999758005
2354	0.822569602	1.006181465
2355	0.828174208	0.997160596
2356	0.836605468	0.95628917
2357	0.735974809	1.034950152
2358	0.811959466	1.020085173
2359	0.821625738	0.996556513
2360	0.799069495	0.982713483
2361	0.759321761	1.041737908
2362	0.807739892	1.078845569
2363	0.782324605	1.075332546
2364	0.801858934	1.025766466
2365	0.814926464	0.92276197
2366	0.860857913	0.980061301
2367	0.897504855	0.962283592
2368	0.816983297	1.022875144
2369	0.812346466	0.935480228
2370	0.818359034	0.961057535
2371	0.830270754	0.939871313
2372	0.782759429	1.043581254
2373	0.732633388	1.01640517
2374	0.855904722	0.938325598
2375	0.816337115	0.847623782
2376	0.850702297	0.987725831
2377	0.833806387	1.016328886
2378	0.881969764	0.93289281
2379	0.8576719	0.851908207
2380	0.76573512	0.8751994
2381	0.873298383	0.976279727
2382	0.830555538	0.876435101
2383	0.865598949	0.91613742
2384	0.860119249	0.942755368
2385	0.842313931	0.85645579
2386	0.84141624	0.820462399
2387	0.771161949	0.766180529
2388	0.857632156	0.868393177
2389	0.80507696	0.868828641
2390	0.945130089	0.892211467
2391	0.775023876	0.791612155
2392	0.804532872	0.900885162
2393	0.883276672	0.811208865
2394	0.910058277	0.811359963
